Año;Mes;Glosa;Índice;Variación Mensual (%)
2013;5;Bienes;63,43;-0,2
2013;5;Energía;59,83;-1,7
2013;5;Frutas y verduras frescas;43,37;0,9
2013;5;IPC General menos alimentos y energía;66,52;0,1
2013;5;No Transables;63,84;0,3
2013;5;Servicios;62,5;0,2
2013;5;Transables;61,48;-0,3
2013;6;Alimentos;52,2;1,1
2013;6;Bienes;63,75;0,5
2013;6;Energía;62,58;4,6
2013;6;Frutas y verduras frescas;45,8;5,6
2013;6;IPC General menos alimentos y energía;66,52;0
2013;6;No Transables;63,97;0,2
2013;6;Servicios;63;0,8
2013;6;Transables;62,09;1
2013;7;Alimentos;52,36;0,3
2013;7;Bienes;63,75;0
2013;7;Energía;63,14;0,9
2013;7;Frutas y verduras frescas;46,62;1,8
2013;7;IPC General menos alimentos y energía;66,65;0,2
2013;7;No Transables;64,29;0,5
2013;7;Servicios;63,32;0,5
2013;7;Transables;62,15;0,1
2013;8;Alimentos;52,62;0,5
2013;8;Bienes;64,07;0,5
2013;8;Energía;64,47;2,1
2013;8;Frutas y verduras frescas;46,76;0,3
2013;8;IPC General menos alimentos y energía;66,58;-0,1
2013;8;No Transables;64,23;-0,1
2013;8;Servicios;63,26;-0,1
2013;8;Transables;62,46;0,5
2013;9;Alimentos;52,83;0,4
2013;9;Bienes;64,39;0,5
2013;9;Energía;64,15;-0,5
2013;9;Frutas y verduras frescas;47,27;1,1
2013;9;IPC General menos alimentos y energía;67,05;0,7
2013;9;No Transables;64,62;0,6
2013;9;Servicios;63,64;0,6
2013;9;Transables;62,77;0,5
2013;10;Alimentos;53,78;1,8
2013;10;Bienes;64,45;0,1
2013;10;Energía;61,97;-3,4
2013;10;Frutas y verduras frescas;50,3;6,4
2013;10;IPC General menos alimentos y energía;67,12;0,1
2013;10;No Transables;64,75;0,2
2013;10;Servicios;63,7;0,1
2013;10;Transables;62,83;0,1
2013;11;Alimentos;54,26;0,9
2013;11;Bienes;64,71;0,4
2013;11;Energía;61,85;-0,2
2013;11;Frutas y verduras frescas;52,46;4,3
2013;11;IPC General menos alimentos y energía;67,32;0,3
2013;11;No Transables;65,01;0,4
2013;11;Servicios;63,89;0,3
2013;11;Transables;63,08;0,4
2013;12;Alimentos;53,83;-0,8
2013;12;Bienes;64,9;0,3
2013;12;Energía;64,32;4
2013;12;Frutas y verduras frescas;49,57;-5,5
2013;12;IPC General menos alimentos y energía;67,72;0,6
2013;12;No Transables;65,6;0,9
2013;12;Servicios;64,46;0,9
2013;12;Transables;63,33;0,4
2014;1;Alimentos;53,61;-0,4
2014;1;Bienes;64,84;-0,1
2014;1;Energía;64,83;0,8
2014;1;Frutas y verduras frescas;48,08;-3
2014;1;IPC General menos alimentos y energía;67,92;0,3
2014;1;No Transables;65,93;0,5
2014;1;Servicios;64,78;0,5
2014;1;Transables;63,33;0
2014;2;Alimentos;53,82;0,4
2014;2;Bienes;65,16;0,5
2014;2;Energía;66;1,8
2014;2;Frutas y verduras frescas;47,79;-0,6
2014;2;IPC General menos alimentos y energía;68,12;0,3
2014;2;No Transables;66,19;0,4
2014;2;Servicios;65,04;0,4
2014;2;Transables;63,65;0,5
2014;3;Alimentos;54,25;0,8
2014;3;Bienes;65,75;0,9
2014;3;Energía;67,06;1,6
2014;3;Frutas y verduras frescas;48,79;2,1
2014;3;IPC General menos alimentos y energía;68,66;0,8
2014;3;No Transables;66,72;0,8
2014;3;Servicios;65,56;0,8
2014;3;Transables;64,22;0,9
2014;4;Alimentos;54,74;0,9
2014;4;Bienes;66,01;0,4
2014;4;Energía;66,32;-1,1
2014;4;Frutas y verduras frescas;49,23;0,9
2014;4;IPC General menos alimentos y energía;69,21;0,8
2014;4;No Transables;67,32;0,9
2014;4;Servicios;66,08;0,8
2014;4;Transables;64,48;0,4
2014;5;Alimentos;55,01;0,5
2014;5;Bienes;66,41;0,6
2014;5;Energía;67,18;1,3
2014;5;Frutas y verduras frescas;48,98;-0,5
2014;5;IPC General menos alimentos y energía;69,35;0,2
2014;5;No Transables;67,39;0,1
2014;5;Servicios;66,15;0,1
2014;5;Transables;64,8;0,5
2014;6;Alimentos;55,18;0,3
2014;6;Bienes;66,34;-0,1
2014;6;Energía;67,18;0
2014;6;Frutas y verduras frescas;48,59;-0,8
2014;6;IPC General menos alimentos y energía;69,35;0
2014;6;No Transables;67,52;0,2
2014;6;Servicios;66,28;0,2
2014;6;Transables;64,74;-0,1
2014;7;Alimentos;55,68;0,9
2014;7;Bienes;66,47;0,2
2014;7;Energía;67,92;1,1
2014;7;Frutas y verduras frescas;48,69;0,2
2014;7;IPC General menos alimentos y energía;69,35;0
2014;7;No Transables;67,72;0,3
2014;7;Servicios;66,48;0,3
2014;7;Transables;64,87;0,2
2014;8;Alimentos;56,18;0,9
2014;8;Bienes;66,74;0,4
2014;8;Energía;67,17;-1,1
2014;8;Frutas y verduras frescas;49,81;2,3
2014;8;IPC General menos alimentos y energía;69,63;0,4
2014;8;No Transables;67,86;0,2
2014;8;Servicios;66,61;0,2
2014;8;Transables;65,13;0,4
2014;9;Alimentos;57,36;2,1
2014;9;Bienes;67,54;1,2
2014;9;Energía;67,57;0,6
2014;9;Frutas y verduras frescas;53,25;6,9
2014;9;IPC General menos alimentos y energía;69,98;0,5
2014;9;No Transables;68,13;0,4
2014;9;Servicios;66,88;0,4
2014;9;Transables;65,91;1,2
2014;10;Alimentos;59,31;3,4
2014;10;Bienes;68,62;1,6
2014;10;Energía;67,77;0,3
2014;10;Frutas y verduras frescas;58,84;10,5
2014;10;IPC General menos alimentos y energía;70,33;0,5
2014;10;No Transables;68,4;0,4
2014;10;Servicios;67,15;0,4
2014;10;Transables;66,9;1,5
2014;11;Alimentos;59,01;-0,5
2014;11;Bienes;68,21;-0,6
2014;11;Energía;66,89;-1,3
2014;11;Frutas y verduras frescas;58,43;-0,7
2014;11;IPC General menos alimentos y energía;70,54;0,3
2014;11;No Transables;68,74;0,5
2014;11;Servicios;67,62;0,7
2014;11;Transables;66,7;-0,3
2014;12;Alimentos;58,66;-0,6
2014;12;Bienes;67,39;-1,2
2014;12;Energía;63,01;-5,8
2014;12;Frutas y verduras frescas;55,51;-5
2014;12;IPC General menos alimentos y energía;70,75;0,3
2014;12;No Transables;69,15;0,6
2014;12;Servicios;67,96;0,5
2014;12;Transables;65,9;-1,2
2015;1;Alimentos;58,72;0,1
2015;1;Bienes;67,19;-0,3
2015;1;Energía;59,54;-5,5
2015;1;Frutas y verduras frescas;55,51;0
2015;1;IPC General menos alimentos y energía;71,25;0,7
2015;1;No Transables;69,5;0,5
2015;1;Servicios;68,3;0,5
2015;1;Transables;65,7;-0,3
2015;2;Alimentos;58,6;-0,2
2015;2;Bienes;67,32;0,2
2015;2;Energía;61,15;2,7
2015;2;Frutas y verduras frescas;53,07;-4,4
2015;2;IPC General menos alimentos y energía;71,46;0,3
2015;2;No Transables;69,64;0,2
2015;2;Servicios;68,64;0,5
2015;2;Transables;66,03;0,5
2015;3;Alimentos;58,66;0,1
2015;3;Bienes;67,72;0,6
2015;3;Energía;61,94;1,3
2015;3;Frutas y verduras frescas;54,24;2,2
2015;3;IPC General menos alimentos y energía;71,96;0,7
2015;3;No Transables;70,2;0,8
2015;3;Servicios;69,12;0,7
2015;3;Transables;66,36;0,5
2015;4;Alimentos;59,13;0,8
2015;4;Bienes;68,19;0,7
2015;4;Energía;62,62;1,1
2015;4;Frutas y verduras frescas;54,08;-0,3
2015;4;IPC General menos alimentos y energía;72,25;0,4
2015;4;No Transables;70,55;0,5
2015;4;Servicios;69,4;0,4
2015;4;Transables;66,82;0,7
2015;5;Alimentos;59,25;0,2
2015;5;Bienes;68,39;0,3
2015;5;Energía;63;0,6
2015;5;Frutas y verduras frescas;54,89;1,5
2015;5;IPC General menos alimentos y energía;72,32;0,1
2015;5;No Transables;70,55;0
2015;5;Servicios;69,4;0
2015;5;Transables;67,02;0,3
2015;6;Alimentos;59,37;0,2
2015;6;Bienes;68,6;0,3
2015;6;Energía;64,13;1,8
2015;6;Frutas y verduras frescas;54,94;0,1
